,Target,MAE,MAPE (%),RMSE
0,length_cm,9.410379,34.47043,17.854673
1,width_cm,6.1344504,44.77214,10.520027
2,height_cm,3.307554,70.34223,5.979001
3,weight_g,567.1059,114.34703,2254.0706
