,Target,MAE,MAPE (%),RMSE
0,length_cm,9.503074,35.602207,17.734917
1,width_cm,6.263496,47.46612,10.565595
2,height_cm,3.463972,79.53839,6.1065645
3,weight_g,559.92993,120.04024,2281.9912
